title,image,categories
Strategy,https://www.metabase.com/images/twitter/default.png,Administration
Custom expressions,https://www.metabase.com/learn/images/custom-expressions-in-the-notebook-editor/filter-expression.png,jekyll update
Drill through,https://www.metabase.com/learn/images/create-charts-with-explorable-data/action-menu.png,Reporting
Index,,Questions
Joins in metabase,https://www.metabase.com/learn/images/joins-in-metabase/orders-and-products.png,guide
Multi aggregation,https://www.metabase.com/learn/images/multi-aggregation/viz-weekly-totals-by-category.png,Querying
Searching tables,https://www.metabase.com/images/twitter/default.png,Querying
Time series comparisons,https://www.metabase.com/images/twitter/default.png,jekyll update
Dates in sql,https://www.metabase.com/images/twitter/default.png,Querying
Field filters,https://www.metabase.com/learn/images/field-filters-create-smart-filter-widgets-for-sql-questions/date-filter.gif,jekyll update
Index,,Sql questions
Ltv with metabase,https://www.metabase.com/learn/images/ltv-with-metabase/ltv-sql-query.png,Analytics
Organizing sql,https://www.metabase.com/images/twitter/default.png,Organization
Sql best practices,https://www.metabase.com/images/twitter/default.png,guide
Sql cte,https://www.metabase.com/images/twitter/default.png,Querying
Sql join types,https://www.metabase.com/learn/images/sql-join-types/join-types.png,Querying
SQL joins,https://www.metabase.com/images/twitter/default.png,Querying
Sql snippets,https://www.metabase.com/learn/images/sql-snippets-reuse-and-share-sql-code/highlight-and-save-as-snippet.gif,Querying
Sql tricks ordering charts,https://www.metabase.com/learn/images/sql-case/case-expression.png,Querying
Sql variables,https://www.metabase.com/images/twitter/default.png,jekyll update
Bar charts,https://www.metabase.com/learn/images/master-the-bar-chart-visualization/edited-bar-chart.png,jekyll update
Chart guide,https://www.metabase.com/learn/guide-to-charts/stacked-100-percent.png,Querying
Funnel,https://www.metabase.com/learn/images/funnel-chart/funnel-chart-example.png,Visualizations
Histograms,https://www.metabase.com/learn/images/visualizing-your-data-as-a-histogram/histogram.png,jekyll update
How to create pivot tables,https://www.metabase.com/images/twitter/default.png,guide
Index,,Visualization
Line charts,https://www.metabase.com/images/twitter/default.png,Querying
Maps,https://www.metabase.com/learn/images/visualizing-data-with-maps/grid-map.png,jekyll update
Table,https://www.metabase.com/images/twitter/default.png,Visualization
